step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,ave_wait
10.0,3344.6,17.6,2.5,0,2.75,1.76
20.0,-122.0,139.6,12.5,0,30.074999999999996,9.31
30.0,-50.80000000000001,190.4,22.5,0,19.658333333333335,8.65
40.0,-159.79999999999998,350.2,32.5,0,42.025000000000006,15.23
50.0,-123.0,473.2,42.5,0,23.089999999999996,15.77
60.0,-53.00000000000006,526.2,52.1,0,45.483333333333334,19.49
70.0,94.20000000000005,432.0,41.7,0,33.797916666666666,14.4
80.0,-140.5,572.5,40.9,0,49.0,19.74
90.0,18.299999999999955,554.2,50.6,0,31.93416666666667,17.88
100.0,-19.0,573.2,50.9,0,54.737500000000004,19.11
110.0,-46.59999999999991,619.8,60.9,0,41.9075,19.37
120.0,-282.5,902.3,70.9,0,64.40416666666667,27.34
130.0,93.29999999999995,809.0,62.4,0,47.03422619047619,22.47
140.0,4.2999999999999545,804.7,72.0,0,63.16,24.38
150.0,-82.5,887.2,82.0,0,49.52916666666667,24.64
160.0,-322.5999999999999,1209.8,92.0,0,71.97916666666667,32.7
170.0,-60.0,1269.8,102.0,0,52.20273809523809,33.42
180.0,-297.79999999999995,1567.6,112.0,0,71.40270833333334,40.19
190.0,147.69999999999982,1419.9,90.9,0,57.32916666666667,33.02
200.0,-28.799999999999955,1448.7,100.9,0,67.98472222222222,36.22
210.0,293.29999999999995,1155.4,82.1,0,59.85984126984127,26.26
220.0,-333.79999999999995,1489.2,92.1,0,74.25083333333333,33.85
230.0,-30.200000000000045,1519.4,102.1,0,50.63439393939394,33.03
240.0,-311.5,1830.9,112.1,0,71.36,41.61
250.0,264.60000000000014,1566.3,122.1,0,57.21834207459207,34.81
260.0,-303.0,1869.3,132.1,0,70.68660714285714,39.77
270.0,-126.10000000000014,1995.4,142.1,0,64.62755244755245,44.34
280.0,-386.0,2381.4,152.1,0,83.9860606060606,51.77
290.0,-304.1999999999998,2685.6,162.1,0,79.63189393939395,50.67
300.0,-396.5999999999999,3082.2,172.1,0,97.37604166666668,57.08
310.0,-389.8000000000002,3472.0,182.1,0,59.62553571428572,63.13
320.0,-181.19999999999982,3653.2,192.1,0,104.35301677489178,70.25
330.0,-303.9000000000001,3957.1,202.1,0,13.175,71.95
340.0,1088.2999999999997,2868.8,180.9,0,99.74638257575756,58.55
350.0,768.8000000000002,2100.0,190.9,0,60.03728146853147,38.89
360.0,500.0999999999999,1599.9,148.7,0,77.50944444444445,30.19
370.0,119.80000000000018,1480.1,121.7,0,60.082440476190484,25.97
380.0,-190.4000000000001,1670.5,131.7,0,69.20357142857142,26.94
390.0,315.0,1355.5,71.3,0,47.55614697802197,22.59
400.0,-432.5,1788.0,81.3,0,70.42886904761905,30.83
410.0,8.400000000000091,1779.6,80.4,0,58.505357142857136,28.7
420.0,-68.30000000000018,1847.9,90.4,0,74.72540064102563,30.8
430.0,12.200000000000045,1835.7,100.4,0,65.15964285714286,29.14
440.0,-124.09999999999991,1959.8,110.4,0,81.66586850649351,32.13
450.0,-12.799999999999955,1972.6,120.4,0,69.0320138888889,31.31
460.0,-206.5,2179.1,130.4,0,82.50895833333333,36.32
470.0,-227.0,2406.1,140.4,0,75.70583333333333,40.78
480.0,264.4000000000001,2141.7,110.5,0,82.54694444444443,36.3
490.0,210.29999999999973,1931.4,120.5,0,75.50352182539683,33.3
500.0,110.60000000000014,1820.8,92.4,0,79.67222222222222,33.11
510.0,86.70000000000005,1734.1,82.9,0,64.92340909090909,29.39
520.0,-173.80000000000018,1907.9,92.9,0,83.23647727272729,37.41
530.0,-20.799999999999955,1928.7,102.9,0,63.73878205128205,37.09
540.0,-261.10000000000014,2189.8,112.9,0,81.58333333333333,46.59
550.0,-346.6999999999998,2536.5,122.9,0,75.78305860805861,46.97
560.0,-214.5,2751.0,132.9,0,92.04025974025976,55.02
570.0,-175.0999999999999,2926.1,142.9,0,83.41886863136862,55.21
580.0,218.5999999999999,2707.5,152.9,0,89.46522435897435,54.15
590.0,-355.4000000000001,3062.9,162.9,0,75.25881410256412,57.79
600.0,-475.5999999999999,3538.5,172.9,0,105.27732683982684,63.19
610.0,-401.0999999999999,3939.6,182.9,0,38.93736263736264,67.92
620.0,-472.9000000000001,4412.5,192.9,0,129.5701923076923,74.79
630.0,123.89999999999964,4288.6,202.9,0,68.14694444444444,69.17
640.0,36.0,4252.6,212.9,0,124.90564407814406,73.32
650.0,30.0,4222.6,222.9,0,102.91012820512819,75.4
660.0,1073.8000000000002,3148.8,210.0,0,119.09916666666668,61.74
670.0,165.70000000000027,2983.1,220.0,0,53.7389880952381,53.27
680.0,1064.6,1918.5,210.1,0,84.76838203463203,36.2
690.0,-71.29999999999995,1989.8,220.1,0,39.065453296703296,34.91
700.0,-351.10000000000014,2340.9,230.1,0,79.70625000000001,43.35
710.0,-376.2999999999997,2717.2,240.1,0,70.07142475579975,47.67
720.0,346.6999999999998,2370.5,250.1,0,84.74468864468864,43.9
730.0,414.20000000000005,1956.3,120.8,0,72.6685576923077,34.93
740.0,193.5,1762.8,80.1,0,79.17928321678323,33.26
750.0,67.70000000000005,1695.1,89.9,0,54.23049242424243,29.23
760.0,79.0,1616.1,90.8,0,79.58142857142857,28.35
770.0,-60.0,1676.1,100.8,0,70.00870879120879,25.4
780.0,-20.40000000000009,1696.5,110.8,0,78.68333333333332,29.76
790.0,-203.5,1900.0,120.8,0,53.06830357142857,31.15
800.0,-231.4000000000001,2131.4,130.8,0,77.88663690476191,38.75
810.0,17.800000000000182,2113.6,140.8,0,58.51875,35.82
820.0,-71.20000000000027,2184.8,150.8,0,83.07653846153846,40.46
830.0,-233.39999999999964,2418.2,160.8,0,59.7133814102564,41.69
840.0,27.09999999999991,2391.1,170.8,0,88.93868055555556,44.28
850.0,-405.3000000000002,2796.4,180.8,0,58.68888888888888,47.4
860.0,-90.79999999999973,2887.2,190.8,0,92.77765422077923,48.94
870.0,-125.70000000000027,3012.9,200.8,0,82.37285353535353,54.78
