step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,ave_wait
10.0,-15.8,15.8,2.7,0,2.975,1.32
20.0,-121.39999999999999,137.2,12.7,0,29.375000000000004,8.57
30.0,-42.900000000000006,180.1,22.7,0,24.4375,8.58
40.0,-165.50000000000003,345.6,32.7,0,40.99999999999999,14.4
50.0,-44.39999999999998,390.0,42.7,0,20.39625,13.93
60.0,-95.69999999999999,485.7,52.7,0,44.23666666666667,18.68
70.0,-152.59999999999997,638.3,62.7,0,34.18928571428572,19.95
80.0,40.59999999999991,597.7,51.5,0,52.1575,20.61
90.0,-34.39999999999998,632.1,61.5,0,40.91875,19.75
100.0,-287.29999999999995,919.4,71.5,0,62.83839285714286,27.04
110.0,-230.39999999999998,1149.8,81.5,0,53.11666666666666,28.74
120.0,40.09999999999991,1109.7,91.5,0,72.42083333333332,29.99
130.0,91.60000000000002,1018.1,101.5,0,44.83333333333333,28.28
140.0,-173.10000000000002,1191.2,111.5,0,71.95416666666665,35.04
150.0,-227.5,1418.7,121.5,0,67.48095238095237,35.47
160.0,-360.70000000000005,1779.4,131.5,0,87.33928571428571,41.38
170.0,131.80000000000018,1647.6,141.5,0,64.87083333333334,37.45
180.0,-105.70000000000005,1753.3,151.5,0,81.55881944444444,41.75
190.0,502.0999999999999,1251.2,100.7,0,62.02333333333334,28.44
200.0,-196.79999999999995,1448.0,110.7,0,79.5375,34.48
210.0,-207.70000000000005,1655.7,120.7,0,73.48404761904763,36.79
220.0,2.5,1653.2,130.7,0,86.81770833333334,40.32
230.0,357.10000000000014,1296.1,82.3,0,58.78333333333333,28.18
240.0,-243.0,1539.1,92.3,0,71.74636363636364,34.2
250.0,-60.0,1599.1,102.3,0,54.176287878787875,35.54
260.0,-318.9000000000001,1918.0,112.3,0,76.12689393939394,43.59
270.0,184.0,1734.0,122.3,0,63.41344696969696,38.53
280.0,408.9000000000001,1325.1,100.7,0,72.76909722222221,29.45
290.0,-194.70000000000005,1519.8,110.7,0,46.929020979020976,30.4
300.0,199.0,1320.8,92.0,0,65.90559523809524,28.1
310.0,133.0,1187.8,102.0,0,34.32261904761905,24.24
320.0,-379.29999999999995,1567.1,112.0,0,67.80871212121212,29.57
330.0,-161.30000000000018,1728.4,122.0,0,47.0244123931624,33.24
340.0,95.0,1633.4,132.0,0,63.455219780219785,31.41
350.0,-264.1999999999998,1897.6,142.0,0,39.802619047619054,34.5
360.0,84.19999999999982,1813.4,152.0,0,64.08261904761905,34.87
370.0,397.4000000000001,1416.0,103.2,0,52.764583333333334,27.76
380.0,-313.0,1729.0,113.2,0,65.96143162393162,30.33
390.0,-159.4000000000001,1888.4,123.2,0,36.21930555555556,32.01
400.0,-412.0999999999999,2300.5,133.2,0,71.01525974025974,38.99
410.0,85.0,2215.5,143.2,0,42.93794642857143,38.2
420.0,-323.5,2539.0,153.2,0,76.97017361111112,43.03
430.0,513.0,2026.0,129.0,0,63.51952311577312,35.54
440.0,436.79999999999995,1589.2,101.8,0,71.73621753246752,26.49
450.0,1.7999999999999545,1587.4,111.8,0,49.437660256410254,26.02
460.0,253.20000000000005,1334.2,82.5,0,61.18166666666667,22.61
470.0,84.40000000000009,1249.8,92.5,0,41.08958333333333,22.72
480.0,-274.20000000000005,1524.0,102.5,0,64.08396520146519,29.31
490.0,-124.5,1648.5,112.5,0,53.35508241758242,29.97
500.0,-327.5,1976.0,122.5,0,68.57589285714286,38.75
510.0,-101.30000000000018,2077.3,132.5,0,60.26739926739926,39.19
520.0,-291.89999999999964,2369.2,142.5,0,78.63678571428571,43.08
530.0,-91.30000000000018,2460.5,152.5,0,43.65375,47.32
540.0,-22.800000000000182,2483.3,162.5,0,81.38785256410256,52.84
550.0,-28.399999999999636,2511.7,172.5,0,65.98826923076923,52.33
560.0,-304.10000000000036,2815.8,182.5,0,87.66401098901098,64.0
570.0,683.4000000000001,2132.4,138.1,0,49.17791666666667,47.39
580.0,50.20000000000027,2082.2,148.1,0,80.93653846153846,43.38
590.0,-68.40000000000009,2150.6,158.1,0,44.861666666666665,46.75
600.0,602.1999999999998,1548.4,161.3,0,72.52030303030303,34.41
610.0,235.9000000000001,1312.5,171.3,0,37.05791666666667,26.25
620.0,-172.0999999999999,1484.6,181.3,0,64.94375,31.59
630.0,-120.30000000000018,1604.9,191.3,0,28.514583333333334,36.48
640.0,409.4000000000001,1195.5,123.3,0,61.39098484848485,27.8
650.0,31.09999999999991,1164.4,133.3,0,20.885,25.31
660.0,232.20000000000005,932.2,60.8,0,52.580555555555556,19.83
670.0,-290.39999999999986,1222.6,70.8,0,36.828926282051285,23.51
680.0,-52.40000000000009,1275.0,80.8,0,59.28775252525253,24.52
