step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,ave_wait
10.0,2877.0,13.5,2.1,0,3.0625,1.23
20.0,-119.9,133.4,12.1,0,29.849999999999998,8.89
30.0,-47.0,180.4,22.1,0,20.695833333333333,9.02
40.0,-119.4,299.8,31.3,0,42.31666666666667,14.28
50.0,-42.099999999999966,341.9,41.3,0,24.5125,14.87
60.0,-159.5,501.4,51.3,0,50.616666666666674,20.06
70.0,-85.5,586.9,61.3,0,43.5625,20.96
80.0,-59.89999999999998,646.8,71.3,0,57.112500000000004,21.56
90.0,211.09999999999997,435.7,42.1,0,33.87125,15.02
100.0,-243.59999999999997,679.3,52.1,0,51.415000000000006,21.91
110.0,-124.90000000000009,804.2,62.1,0,38.28809523809524,22.34
120.0,-363.5999999999999,1167.8,72.1,0,61.93303571428571,29.94
130.0,-210.70000000000005,1378.5,82.1,0,34.096180555555556,31.33
140.0,-347.20000000000005,1725.7,92.1,0,63.492222222222225,36.72
150.0,106.5,1619.2,102.1,0,35.74546703296703,31.75
160.0,181.10000000000014,1438.1,80.9,0,69.33576388888889,31.96
170.0,-257.70000000000005,1695.8,90.9,0,56.18525883838383,35.33
180.0,-381.70000000000005,2077.5,100.9,0,78.0330808080808,39.2
190.0,226.5999999999999,1850.9,102.4,0,50.010700757575755,35.59
200.0,-382.5999999999999,2233.5,112.4,0,84.5802904040404,41.36
210.0,-325.0999999999999,2558.6,122.4,0,72.3102097902098,42.64
220.0,243.79999999999973,2314.8,112.1,0,87.02151515151516,42.87
230.0,241.80000000000018,2073.0,122.1,0,71.19560939060939,37.02
240.0,-173.80000000000018,2246.8,132.1,0,86.68882575757576,49.93
250.0,407.5000000000002,1839.3,120.8,0,67.68386363636364,36.06
260.0,-328.20000000000005,2167.5,130.8,0,84.93141025641026,41.68
270.0,-302.1999999999998,2469.7,140.8,0,78.04642857142856,43.33
280.0,-146.80000000000018,2616.5,150.8,0,90.36636904761906,49.37
