step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,stop_time,ave_wait
10.0,339.2,11.4,2.4,0,1.0,2,1.27
20.0,-86.6,88.4,12.0,0,15.850000000000001,0,5.52
30.0,-25.599999999999994,104.0,22.0,0,6.1416666666666675,6,6.12
40.0,-36.599999999999994,132.6,30.0,0,0.0,5,6.98
50.0,-43.8,184.2,22.2,0,13.079166666666666,10,8.77
60.0,-84.60000000000002,258.8,32.2,0,0.0,8,10.78
70.0,-115.80000000000001,364.6,42.2,0,18.816666666666666,17,13.02
80.0,-26.19999999999996,391.2,41.8,0,0.0,7,13.97
90.0,46.400000000000006,344.4,42.2,0,21.188333333333333,17,13.78
100.0,-22.400000000000006,369.2,39.8,0,11.558333333333334,6,14.2
110.0,57.400000000000006,320.4,31.2,0,24.7375,15,13.35
120.0,-34.400000000000006,346.2,39.8,0,0.0,8,13.85
130.0,2.6000000000000085,341.4,42.0,0,22.373333333333335,13,14.22
140.0,9.399999999999956,341.6,32.4,0,0.0,6,13.14
150.0,-45.799999999999955,377.4,42.4,0,32.49,15,15.1
160.0,-42.00000000000002,411.0,50.8,0,11.100000000000001,7,15.81
170.0,64.0,357.0,40.8,0,36.079166666666666,17,14.28
180.0,-44.19999999999999,391.2,50.8,0,0.0,8,15.05
190.0,38.79999999999996,361.6,41.6,0,27.79,14,13.39
200.0,16.200000000000003,354.6,32.4,0,12.533333333333333,6,14.18
210.0,-22.399999999999977,367.0,42.4,0,21.541666666666664,17,13.59
220.0,-43.2,401.0,51.6,0,13.25,7,15.42
230.0,79.80000000000001,332.2,40.6,0,30.84583333333334,14,12.78
240.0,-35.60000000000002,357.8,50.6,0,0.0,9,13.76
250.0,25.4,342.8,40.2,0,34.156666666666666,15,13.71
260.0,6.400000000000034,344.4,32.2,0,0.0,7,13.25
270.0,-22.80000000000001,357.2,42.2,0,27.959999999999997,15,13.23
280.0,-27.200000000000017,375.8,50.8,0,0.0,7,14.45
290.0,51.400000000000006,333.0,42.2,0,36.5375,13,13.88
300.0,-40.0,363.0,52.2,0,0.0,9,13.96
310.0,32.19999999999998,340.6,42.4,0,31.07333333333333,12,13.1
320.0,17.200000000000045,333.4,32.4,0,9.65,6,13.34
330.0,-36.00000000000005,359.6,42.2,0,23.523333333333337,14,15.63
340.0,-34.799999999999976,385.0,51.6,0,12.399999999999999,6,15.4
350.0,-21.80000000000001,396.8,61.6,0,34.325,18,15.26
360.0,46.0,364.8,47.6,0,0.0,8,14.03
370.0,54.800000000000026,327.2,30.4,0,27.2875,15,14.23
380.0,-14.0,339.2,32.4,0,0.0,6,13.05
390.0,-53.19999999999999,382.4,42.4,0,33.91,19,14.71
400.0,-16.20000000000001,390.2,50.8,0,12.3,7,15.01
410.0,75.19999999999999,325.0,40.8,0,29.695833333333333,13,11.61
420.0,-32.60000000000002,347.6,50.8,0,0.0,10,13.9
430.0,51.20000000000002,316.0,31.2,0,20.348333333333333,13,12.15
440.0,-16.000000000000004,331.0,32.2,0,0.0,6,13.24
450.0,-18.399999999999977,339.4,42.2,0,27.30666666666667,17,13.05
460.0,-31.600000000000023,373.0,40.2,0,0.0,7,14.35
470.0,47.0,335.0,31.2,0,33.02083333333333,13,12.41
