step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,stop_time,ave_wait
10.0,803.0,9.2,2.4,0,1.2,4,1.84
20.0,-31.6,31.0,12.2,0,0.0,1,1.94
30.0,-69.2,94.0,18.4,0,6.366666666666667,9,5.53
40.0,-49.80000000000001,133.8,28.4,0,8.65,2,7.87
50.0,-88.6,212.4,38.4,0,21.358333333333334,9,11.18
60.0,-119.4,321.8,48.4,0,0.0,8,13.41
70.0,33.80000000000002,294.2,42.2,0,22.020000000000003,11,11.77
80.0,64.6,239.4,32.4,0,0.0,4,9.98
90.0,-27.400000000000006,256.8,42.4,0,19.26,15,11.17
100.0,5.399999999999984,261.6,32.2,0,0.0,5,11.37
110.0,-25.999999999999964,282.2,37.6,0,27.683333333333337,16,10.85
120.0,-96.80000000000001,369.0,47.6,0,0.0,8,15.38
130.0,-27.19999999999999,393.2,50.6,0,26.066666666666666,14,17.1
140.0,-73.40000000000003,456.6,60.6,0,0.0,10,17.56
150.0,58.80000000000003,416.2,42.2,0,22.781666666666666,12,15.41
160.0,-76.80000000000001,483.0,52.2,0,13.73,14,17.89
170.0,-196.0,669.0,62.2,0,41.77142857142857,21,20.27
180.0,19.800000000000004,659.0,52.4,0,0.0,9,20.59
190.0,-7.000000000000021,657.6,60.8,0,19.266666666666666,21,20.55
200.0,1.7999999999999972,654.6,62.0,0,0.0,13,20.46
210.0,-83.0,727.6,72.0,0,30.737500000000004,19,23.47
220.0,-183.60000000000002,901.2,82.0,0,29.810714285714283,14,26.51
230.0,-127.0,1018.2,92.0,0,19.824999999999996,21,28.28
240.0,-56.799999999999955,1065.0,102.0,0,0.0,15,32.27
250.0,-176.20000000000005,1231.2,112.0,0,22.330000000000002,21,36.21
260.0,-187.0,1408.2,122.0,0,0.0,19,36.11
270.0,191.19999999999996,1226.4,112.6,0,39.02371212121213,18,30.66
280.0,554.8000000000001,723.0,61.2,0,0.0,12,19.54
290.0,81.40000000000003,642.4,60.4,0,36.248333333333335,19,19.47
300.0,-27.40000000000007,675.2,55.0,0,0.0,13,21.78
310.0,-187.79999999999995,853.0,65.0,0,45.76041666666667,23,24.37
320.0,19.200000000000045,828.8,70.0,0,0.0,9,24.38
330.0,115.19999999999997,721.4,62.2,0,47.50595238095238,20,21.86
340.0,54.799999999999955,676.6,52.2,0,14.833333333333332,10,19.9
350.0,110.39999999999998,558.2,60.2,0,34.42916666666667,21,18.61
360.0,20.200000000000024,547.6,50.6,0,0.0,14,18.25
370.0,3.2000000000000455,534.4,60.6,0,42.760000000000005,13,17.24
380.0,-10.600000000000016,535.0,70.6,0,17.5875,14,19.11
390.0,-208.0,733.0,80.6,0,47.417500000000004,21,22.91
400.0,-93.60000000000002,816.6,90.6,0,0.0,16,26.34
410.0,-83.60000000000002,890.2,100.6,0,49.4375,18,26.98
