step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,stop_time,ave_wait
10.0,1938.3999999999999,5.2,2.2,0,1.3,5,0.58
20.0,-63.99999999999999,60.8,10.6,0,6.4,0,4.05
30.0,-50.0,100.8,20.6,0,17.700000000000003,9,5.04
40.0,-89.39999999999999,180.2,30.6,0,10.100000000000001,5,9.48
50.0,-27.0,197.2,40.6,0,10.7,12,8.57
60.0,-6.600000000000005,214.6,29.8,0,0.0,7,9.75
70.0,-175.79999999999998,380.4,39.8,0,17.991666666666667,16,13.12
80.0,-172.20000000000005,542.6,49.8,0,0.0,15,17.5
90.0,-61.6,604.6,49.4,0,23.743333333333332,17,17.27
100.0,-170.19999999999996,767.4,56.8,0,10.74,18,21.93
110.0,-223.80000000000007,981.2,66.8,0,29.919444444444448,28,24.53
120.0,-280.39999999999986,1251.6,76.8,0,0.0,23,31.29
130.0,-69.40000000000009,1311.0,86.8,0,38.687222222222225,23,29.8
140.0,146.20000000000005,1154.8,96.8,0,20.91388888888889,20,32.08
150.0,-140.0,1284.8,106.8,0,20.711666666666662,28,33.81
160.0,177.19999999999987,1113.4,101.0,0,13.926923076923076,13,27.84
170.0,101.60000000000007,1010.6,102.2,0,26.049545454545456,27,23.5
180.0,141.0,879.6,92.2,0,15.238888888888887,13,22.55
190.0,-96.6,1006.6,61.8,0,32.1975,32,21.42
200.0,-182.9999999999999,1179.6,71.8,0,29.19375,27,26.81
210.0,-349.20000000000005,1518.8,81.8,0,23.030000000000005,31,32.31
220.0,-141.60000000000014,1650.4,91.8,0,0.0,21,33.01
230.0,-211.19999999999982,1851.6,101.8,0,26.525,43,34.29
240.0,-49.200000000000145,1892.2,110.4,0,15.516666666666667,27,36.39
250.0,-263.9999999999998,2146.2,120.4,0,36.617777777777775,39,38.32
260.0,-108.40000000000009,2244.6,130.4,0,21.471428571428575,25,41.57
270.0,-333.5999999999999,2568.2,140.4,0,33.860769230769236,48,42.1
280.0,-186.20000000000027,2744.4,150.4,0,22.36142857142857,31,47.32
290.0,27.200000000000273,2707.2,160.4,0,58.23571428571428,32,51.08
300.0,52.399999999999636,2644.8,170.4,0,26.688333333333336,24,55.1
310.0,106.0,2528.8,180.4,0,32.92211538461538,34,53.8
320.0,-384.0,2902.8,190.4,0,0.0,30,61.76
330.0,481.60000000000036,2430.2,181.4,0,7.316666666666667,23,49.6
340.0,392.79999999999984,2037.8,181.0,0,0.0,22,41.59
350.0,30.200000000000045,1997.6,191.0,0,8.61,33,39.17
360.0,548.9999999999998,1465.4,174.2,0,26.575,17,31.18
370.0,69.40000000000003,1419.2,151.0,0,8.971428571428572,35,27.83
380.0,-266.39999999999986,1675.6,161.0,0,0.0,35,34.2
390.0,20.199999999999818,1645.4,171.0,0,38.038333333333334,27,31.05
400.0,-39.999999999999815,1765.6,90.8,0,15.139285714285712,30,30.98
410.0,119.39999999999986,1647.2,89.8,0,22.457142857142856,28,31.68
420.0,28.600000000000136,1608.6,99.8,0,0.0,26,33.51
430.0,453.7999999999999,1162.0,92.6,0,26.26904761904762,27,26.41
440.0,-203.0,1355.0,102.6,0,0.0,33,24.64
450.0,-159.5999999999999,1504.6,112.6,0,29.521818181818176,29,27.86
460.0,-308.8000000000002,1803.4,122.6,0,0.0,39,32.2
470.0,-226.19999999999982,2019.6,132.6,0,61.815000000000005,37,34.23
480.0,215.0,1815.6,121.6,0,11.258333333333333,31,29.28
490.0,527.8,1327.8,81.6,0,37.59753968253968,37,21.77
500.0,-129.60000000000014,1447.4,91.6,0,0.0,26,25.39
510.0,46.60000000000008,1420.0,72.4,0,45.39958333333333,39,23.67
520.0,-115.40000000000009,1525.4,82.4,0,19.422222222222224,30,27.24
530.0,-79.0,1594.4,92.4,0,47.451153846153844,42,27.49
540.0,-116.19999999999982,1700.6,102.4,0,21.954166666666666,33,29.84
550.0,-10.400000000000091,1701.0,112.4,0,55.48531468531469,31,32.09
560.0,-244.4000000000001,1935.4,122.4,0,0.0,30,40.32
570.0,117.6000000000001,1828.0,112.2,0,35.769444444444446,26,37.31
580.0,51.40000000000009,1766.6,122.2,0,28.22083333333333,29,33.97
590.0,-262.20000000000005,2018.8,132.2,0,64.63511904761904,39,41.2
600.0,88.0,1920.8,142.2,0,26.547857142857143,21,37.66
610.0,-61.0,1971.8,152.2,0,56.82602564102564,38,41.95
620.0,241.6,1739.8,142.6,0,0.0,25,34.8
630.0,542.8,1239.0,100.6,0,27.147222222222222,25,24.29
640.0,22.80000000000004,1231.8,85.0,0,51.205595238095235,22,25.14
650.0,-28.0,1249.8,95.0,0,22.844166666666666,34,25.51
660.0,-214.79999999999995,1454.6,105.0,0,0.0,33,30.95
670.0,-394.0,1838.6,115.0,0,26.233636363636364,39,35.36
680.0,-408.2000000000003,2236.8,125.0,0,16.37083333333333,34,42.2
690.0,-416.7999999999997,2643.6,135.0,0,54.00576923076923,46,45.58
700.0,-23.199999999999903,2670.2,131.6,0,0.0,30,44.5
710.0,421.1999999999997,2258.4,122.2,0,69.11298076923077,30,38.94
720.0,-6.999999999999986,2255.4,132.2,0,12.549999999999999,29,39.57
730.0,334.00000000000017,1922.6,131.0,0,58.40590909090909,33,33.15
740.0,-99.00000000000017,2020.4,132.2,0,13.16,42,34.24
750.0,-142.5999999999999,2153.0,142.2,0,58.60674242424243,40,35.3
760.0,271.79999999999995,1891.2,132.2,0,0.0,27,33.18
770.0,-134.5999999999999,2027.8,130.2,0,39.010000000000005,43,31.2
780.0,-117.60000000000014,2135.4,140.2,0,0.0,37,36.19
790.0,-278.7999999999997,2404.2,150.2,0,27.009523809523813,46,39.41
800.0,48.0,2374.2,132.2,0,40.974038461538456,31,38.92
810.0,361.9999999999997,2022.4,122.0,0,41.62195304695304,29,33.15
820.0,168.80000000000004,1864.2,111.4,0,20.006060606060608,26,29.13
830.0,119.60000000000001,1749.2,106.8,0,43.61060606060606,35,28.21
840.0,60.20000000000009,1695.8,100.0,0,18.29423076923077,31,25.69
850.0,27.399999999999864,1681.4,87.0,0,47.74911616161616,33,26.69
860.0,-145.19999999999987,1821.8,91.8,0,0.0,36,28.92
870.0,-70.60000000000014,1882.4,101.8,0,53.116083916083916,51,27.28
880.0,-92.19999999999982,1964.6,111.8,0,18.729166666666668,33,30.7
890.0,-19.600000000000136,1974.2,121.8,0,68.25,37,32.36
900.0,-190.99999999999977,2155.2,131.8,0,44.393181818181816,36,39.91
910.0,20.59999999999991,2124.6,141.8,0,49.21559523809523,35,36.63
920.0,-179.20000000000027,2293.8,151.8,0,24.608333333333334,25,43.28
930.0,-65.79999999999973,2349.6,161.8,0,70.24679487179488,41,43.51
940.0,-136.4000000000001,2476.0,171.8,0,17.083333333333332,33,50.53
950.0,304.19999999999993,2214.4,129.2,0,30.79242424242424,31,41.78
960.0,155.0,2059.4,129.2,0,0.0,33,36.13
970.0,-393.4000000000001,2442.8,139.2,0,45.50333333333333,48,40.71
980.0,-232.19999999999982,2665.0,149.2,0,0.0,42,45.95
990.0,15.400000000000091,2639.6,159.2,0,50.933730158730164,34,47.99
1000.0,501.1999999999998,2128.4,169.2,0,0.0,22,44.34
1010.0,-238.5999999999999,2357.0,179.2,0,9.780000000000001,34,48.1
1020.0,-153.19999999999982,2500.2,189.2,0,31.277272727272727,27,55.56
1030.0,384.99999999999966,2115.8,188.6,0,68.20862193362194,21,46.0
1040.0,1220.0,994.4,90.0,0,13.286363636363635,19,21.16
1050.0,-285.6,1270.0,100.0,0,0.0,33,23.52
1060.0,-145.5999999999999,1405.6,110.0,0,0.0,24,26.52
1070.0,-82.40000000000013,1507.2,90.8,0,48.685833333333335,40,25.12
1080.0,56.20000000000013,1449.6,92.2,0,31.276442307692314,22,27.88
1090.0,-218.00000000000009,1666.0,93.8,0,50.30769230769231,44,28.72
1100.0,-161.2000000000001,1820.4,100.6,0,0.0,23,31.94
1110.0,-237.39999999999986,2047.8,110.6,0,28.936785714285712,44,34.13
1120.0,-27.399999999999864,2065.2,120.6,0,27.4925,30,33.86
1130.0,24.199999999999818,2031.0,130.6,0,57.548080808080805,34,35.02
1140.0,128.6,1912.0,121.0,0,0.0,28,29.88
1150.0,-94.6,2016.0,111.6,0,59.03068181818181,49,32.0
1160.0,-74.0,2080.0,121.6,0,0.0,33,32.0
1170.0,-321.5999999999999,2391.6,131.6,0,58.61936813186813,46,35.17
1180.0,61.999999999999716,2340.8,120.4,0,24.07916666666667,34,37.16
1190.0,435.8000000000002,1933.0,92.4,0,45.651813186813186,32,30.68
1200.0,-144.5999999999999,2067.6,102.4,0,0.0,33,34.46
1210.0,-247.4000000000001,2305.0,112.4,0,27.934444444444445,40,37.18
1220.0,-171.80000000000018,2466.8,122.4,0,25.320000000000004,25,44.85
1230.0,216.4000000000001,2240.4,132.4,0,19.081250000000004,36,38.63
1240.0,917.8000000000001,1355.0,100.0,0,0.0,25,23.77
1250.0,-153.79999999999995,1498.8,110.0,0,34.025595238095235,37,22.71
1260.0,-69.0,1557.8,120.0,0,0.0,34,25.13
1270.0,-47.0,1594.8,130.0,0,58.301590909090905,32,26.14
1280.0,98.80000000000004,1533.6,92.4,0,35.337500000000006,27,25.99
1290.0,-254.60000000000014,1778.2,102.4,0,39.19888888888889,39,29.64
1300.0,-331.79999999999995,2100.0,112.4,0,0.0,40,35.0
1310.0,-26.59999999999981,2128.2,110.8,0,57.102222222222224,37,36.07
1320.0,129.19999999999987,1997.8,112.0,0,38.625,28,33.3
1330.0,-228.00000000000023,2215.8,122.0,0,37.155952380952385,46,34.62
1340.0,108.20000000000009,2121.4,108.2,0,0.0,28,34.22
1350.0,34.59999999999991,2098.8,96.2,0,61.28191308691308,40,31.8
1360.0,71.00000000000027,2020.6,103.4,0,21.674242424242422,30,34.84
1370.0,1.7999999999999545,2008.8,113.4,0,44.966035353535354,39,31.39
1380.0,74.19999999999987,1935.4,112.6,0,19.866666666666667,31,32.26
