step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,stop_time,ave_wait
10.0,358.59999999999997,8.2,3.0,0,1.45,2,0.82
20.0,-47.8,46.8,12.2,0,0.0,1,3.12
30.0,-91.4,128.6,21.8,0,8.616666666666667,7,5.85
40.0,-154.79999999999998,273.4,31.8,0,6.25,8,11.39
50.0,-31.599999999999998,296.4,40.4,0,23.81666666666667,13,12.35
60.0,-2.1316282072803006e-14,297.0,39.8,0,0.0,8,12.38
70.0,-19.800000000000026,325.6,31.0,0,14.3875,14,11.63
80.0,-41.0,356.6,41.0,0,0.0,8,14.26
90.0,19.20000000000001,337.8,40.6,0,31.275,15,12.51
100.0,-67.19999999999999,395.0,50.6,0,10.533333333333335,12,15.8
110.0,30.19999999999999,372.8,42.6,0,24.826666666666668,14,13.31
120.0,-3.3999999999999986,366.8,52.0,0,0.0,6,14.67
130.0,72.6,313.6,32.6,0,20.52916666666667,16,11.61
140.0,-29.0,332.6,42.6,0,0.0,10,12.79
150.0,12.600000000000001,331.6,31.0,0,29.59166666666667,13,11.84
160.0,-59.2,381.6,40.2,0,21.375,10,15.26
170.0,8.600000000000023,371.0,42.2,0,28.431666666666665,13,13.25
180.0,2.200000000000003,362.0,49.0,0,0.0,6,14.48
190.0,-39.80000000000001,391.8,59.0,0,15.924999999999997,15,15.07
200.0,30.599999999999987,378.6,41.6,0,12.46,8,15.78
210.0,51.400000000000034,336.2,32.6,0,25.520833333333336,16,12.45
220.0,-55.60000000000001,384.0,40.4,0,0.0,10,15.36
230.0,8.599999999999973,373.6,42.2,0,14.783333333333335,11,13.34
240.0,4.200000000000024,361.0,50.6,0,0.0,6,14.44
250.0,81.60000000000001,298.2,31.8,0,24.625,16,11.47
260.0,-25.000000000000025,322.8,32.2,0,0.0,8,12.91
270.0,-73.59999999999997,386.4,42.2,0,16.8,16,13.8
280.0,-134.20000000000005,510.6,52.2,0,9.35,12,18.24
290.0,24.200000000000003,487.6,51.0,0,33.81666666666666,14,15.73
300.0,115.00000000000003,373.0,50.6,0,0.0,10,14.92
310.0,11.399999999999991,370.8,41.4,0,32.471666666666664,13,13.24
320.0,9.399999999999999,362.8,40.0,0,13.366666666666667,6,14.51
330.0,59.0,312.8,31.0,0,22.225,13,12.03
340.0,-37.599999999999966,340.4,41.0,0,0.0,8,13.09
350.0,23.399999999999977,327.0,31.0,0,15.3,14,11.68
360.0,-73.60000000000001,391.8,39.8,0,14.100000000000001,10,15.67
370.0,21.200000000000017,368.2,42.2,0,22.310000000000002,17,13.15
380.0,21.200000000000003,339.2,50.0,0,0.0,6,13.57
390.0,52.80000000000001,305.4,31.0,0,18.05,11,10.91
400.0,-8.400000000000034,312.8,32.0,0,0.0,8,12.51
410.0,-116.80000000000001,419.6,42.0,0,22.341666666666665,18,15.54
420.0,-29.399999999999977,450.0,41.0,0,11.91,6,16.07
430.0,59.800000000000026,381.4,49.8,0,26.575,14,13.62
440.0,29.399999999999977,362.0,39.8,0,0.0,8,14.48
450.0,27.60000000000001,334.2,40.0,0,21.291666666666668,16,11.94
460.0,-1.4210854715202004e-14,342.0,32.2,0,0.0,7,13.68
470.0,-35.19999999999999,367.2,42.2,0,33.15166666666667,13,13.6
480.0,-31.20000000000001,390.0,50.6,0,0.0,6,15.6
490.0,64.19999999999999,335.8,40.6,0,26.59166666666667,13,13.43
500.0,-48.80000000000001,374.6,50.6,0,13.483333333333333,11,14.98
510.0,59.000000000000036,335.2,31.0,0,22.283333333333335,18,11.97
520.0,-7.199999999999989,341.4,32.0,0,0.0,6,13.66
530.0,-45.80000000000001,377.2,42.0,0,32.81916666666667,17,13.97
540.0,-22.200000000000024,390.8,50.6,0,10.566666666666666,6,15.63
550.0,61.800000000000004,338.8,40.8,0,22.016666666666666,13,12.1
560.0,-46.599999999999966,375.4,50.8,0,9.600000000000001,8,15.02
570.0,37.19999999999995,347.6,41.4,0,13.148333333333333,15,12.87
580.0,-7.800000000000004,364.6,32.2,0,8.5375,8,14.02
590.0,-40.599999999999966,395.2,42.2,0,25.425,15,14.11
600.0,-17.400000000000006,405.0,49.8,0,0.0,7,15.58
610.0,46.199999999999974,366.6,42.0,0,15.1,16,12.64
620.0,-46.39999999999998,403.0,52.0,0,0.0,9,15.5
630.0,20.800000000000026,382.4,51.8,0,24.08833333333333,13,13.19
640.0,23.599999999999994,370.4,40.2,0,7.666666666666667,6,14.25
650.0,5.7999999999999545,362.6,42.2,0,23.71666666666667,18,13.95
660.0,-24.199999999999953,378.4,50.6,0,0.0,6,15.14
670.0,-60.400000000000034,428.8,60.6,0,27.64583333333333,13,15.31
680.0,48.99999999999999,390.6,49.8,0,11.8,8,15.62
690.0,53.00000000000003,345.2,42.2,0,21.395000000000003,15,12.33
700.0,-7.000000000000007,362.0,32.4,0,12.425,8,14.48
710.0,6.40000000000002,347.4,40.6,0,24.683333333333334,15,12.87
720.0,-52.80000000000001,390.2,50.6,0,23.566666666666666,8,15.61
730.0,49.0,351.2,40.6,0,26.225,13,14.05
740.0,-55.19999999999999,396.4,50.6,0,13.583333333333332,8,15.86
750.0,44.59999999999999,360.2,42.2,0,32.98833333333333,13,12.86
760.0,15.199999999999989,355.0,32.2,0,9.6,6,14.2
770.0,-7.999999999999986,353.2,42.0,0,13.286666666666665,14,13.58
780.0,-39.60000000000002,384.8,50.0,0,0.0,7,15.39
790.0,60.200000000000024,338.2,36.4,0,22.212500000000002,12,12.08
800.0,-47.80000000000001,376.0,46.4,0,8.100000000000001,8,15.04
810.0,27.799999999999997,353.0,41.6,0,25.938333333333333,14,12.61
820.0,12.399999999999999,350.0,32.2,0,0.0,6,14.0
830.0,-29.599999999999987,371.2,40.6,0,32.05166666666667,15,13.26
840.0,-24.19999999999999,385.4,50.6,0,10.966666666666667,6,15.42
850.0,69.79999999999995,325.6,40.6,0,20.575000000000003,16,12.06
860.0,-65.19999999999999,380.8,50.6,0,31.833333333333332,8,14.65
870.0,65.00000000000003,335.4,31.0,0,21.438333333333333,14,11.98
880.0,-1.2000000000000028,335.4,32.2,0,0.0,6,13.98
890.0,-19.600000000000023,345.0,42.2,0,21.585,14,13.27
900.0,-20.0,363.0,44.2,0,0.0,7,14.52
910.0,57.19999999999999,319.8,30.2,0,15.141666666666666,12,11.42
920.0,-26.99999999999999,337.0,40.0,0,0.0,8,13.48
930.0,-3.200000000000003,338.0,42.2,0,29.368333333333332,12,12.07
940.0,13.199999999999989,334.8,32.2,0,0.0,6,12.88
950.0,-31.19999999999999,356.0,42.2,0,21.975,17,12.71
960.0,-8.999999999999972,366.4,40.8,0,0.0,7,14.66
970.0,41.59999999999997,325.0,40.6,0,22.370833333333334,13,12.5
980.0,-29.19999999999999,344.2,50.6,0,12.183333333333334,8,13.77
990.0,40.19999999999997,323.6,31.0,0,27.293333333333333,15,11.56
1000.0,-3.9999999999999574,326.4,32.2,0,0.0,6,12.55
1010.0,-47.200000000000045,363.6,42.2,0,21.060000000000002,19,13.47
1020.0,12.200000000000017,353.8,39.8,0,0.0,6,14.15
1030.0,-48.0,391.8,49.8,0,32.45833333333333,16,13.99
1040.0,25.199999999999996,366.8,49.6,0,10.366666666666667,8,15.28
1050.0,67.8,316.8,31.8,0,13.291666666666668,15,11.73
1060.0,-16.200000000000014,332.6,32.2,0,9.3,6,13.3
1070.0,-19.199999999999953,343.4,40.6,0,12.673333333333334,14,12.26
1080.0,-39.60000000000002,373.0,50.6,0,0.0,6,14.92
1090.0,56.600000000000016,327.2,39.8,0,25.741666666666667,17,12.12
1100.0,-23.80000000000001,341.0,49.8,0,0.0,8,13.64
1110.0,33.60000000000001,326.2,31.0,0,29.64166666666667,16,11.65
1120.0,-3.000000000000014,328.0,32.2,0,0.0,6,13.12
1130.0,-42.60000000000002,360.6,42.2,0,20.173333333333332,17,12.88
1140.0,4.400000000000006,358.6,39.8,0,0.0,8,13.79
1150.0,32.200000000000045,334.4,31.8,0,24.987499999999997,15,11.94
1160.0,-36.20000000000002,362.2,40.2,0,9.2875,9,14.49
1170.0,25.0,335.2,42.2,0,21.518333333333334,16,12.41
1180.0,11.600000000000001,333.2,32.6,0,0.0,7,13.33
1190.0,-33.400000000000034,356.6,42.6,0,21.725,16,12.74
1200.0,-17.19999999999999,365.8,50.6,0,11.05,6,15.24
1210.0,75.00000000000003,310.4,31.0,0,24.1,13,12.42
1220.0,-42.800000000000026,344.0,40.2,0,0.0,8,13.76
1230.0,14.59999999999998,338.6,31.0,0,23.585,16,12.09
1240.0,4.6000000000000085,332.8,32.2,0,0.0,6,13.31
1250.0,-35.599999999999966,358.4,42.2,0,21.53666666666667,17,13.27
1260.0,-39.600000000000044,389.6,50.6,0,0.0,8,14.98
1270.0,72.8,335.6,31.8,0,11.716666666666669,13,11.99
1280.0,-28.59999999999999,355.8,40.2,0,0.0,8,14.82
1290.0,21.0,332.8,42.2,0,22.105000000000004,15,12.33
1300.0,11.800000000000011,331.0,32.2,0,10.791666666666668,6,12.73
1310.0,-27.19999999999999,348.2,42.2,0,14.013333333333334,16,12.44
1320.0,-30.400000000000034,380.6,40.2,0,0.0,6,15.22
1330.0,23.800000000000047,356.4,40.6,0,24.216666666666665,15,13.2
1340.0,-61.60000000000002,408.0,50.6,0,25.883333333333333,10,16.32
1350.0,72.00000000000003,344.4,42.2,0,22.713333333333335,14,12.3
1360.0,23.19999999999999,331.2,32.2,0,0.0,6,13.25
1370.0,-57.400000000000034,378.6,42.2,0,24.128333333333334,17,14.02
1380.0,0.20000000000002416,370.0,50.6,0,0.0,8,14.23
1390.0,45.800000000000004,334.0,40.8,0,25.2125,13,11.93
1400.0,-35.19999999999999,359.2,50.8,0,0.0,8,14.37
1410.0,38.8,340.2,31.0,0,24.557500000000005,15,13.08
1420.0,-17.800000000000033,356.6,32.4,0,9.6,6,14.26
1430.0,-21.399999999999977,368.0,42.4,0,31.36833333333334,16,13.14
1440.0,-32.000000000000014,391.8,50.6,0,11.850000000000001,7,15.67
1450.0,65.80000000000001,336.0,40.6,0,25.429166666666667,14,13.44
1460.0,-57.80000000000001,383.8,50.6,0,13.333333333333334,9,15.35
1470.0,36.800000000000026,356.2,41.4,0,31.145000000000003,15,12.72
1480.0,9.399999999999984,356.0,32.2,0,0.0,6,14.24
1490.0,-43.19999999999999,389.2,42.2,0,35.26166666666667,15,14.41
1500.0,-17.4,398.2,50.6,0,12.291666666666668,7,15.93
1510.0,74.59999999999997,333.6,40.6,0,16.495833333333334,11,11.91
1520.0,-28.19999999999999,351.8,50.6,0,0.0,8,14.66
1530.0,27.0,333.8,41.6,0,22.596666666666668,17,12.36
1540.0,-2.1999999999999744,345.2,32.4,0,20.983333333333334,6,13.81
1550.0,-17.600000000000023,352.8,42.4,0,21.81833333333333,16,12.6
1560.0,-17.79999999999999,367.0,46.0,0,0.0,7,14.12
1570.0,40.99999999999998,335.6,36.4,0,14.720833333333335,14,12.43
1580.0,-39.0,364.6,46.4,0,0.0,9,14.58
1590.0,22.400000000000034,346.2,42.4,0,28.02666666666667,15,12.36
1600.0,21.79999999999996,334.6,32.2,0,0.0,6,13.38
1610.0,-45.199999999999974,370.0,42.0,0,22.74666666666667,18,13.7
1620.0,-39.79999999999999,401.2,50.6,0,0.0,6,15.43
1630.0,-24.600000000000023,415.8,60.6,0,28.762500000000003,15,14.85
1640.0,52.80000000000003,376.4,47.2,0,0.0,8,15.06
1650.0,47.2,334.4,42.0,0,29.486666666666668,15,12.39
1660.0,9.599999999999952,334.6,32.2,0,0.0,7,13.38
1670.0,-33.999999999999964,360.2,40.6,0,29.361666666666665,17,12.86
1680.0,-48.80000000000001,399.0,50.6,0,9.833333333333334,6,15.96
1690.0,-30.399999999999977,419.4,60.6,0,17.21666666666667,16,17.47
1700.0,42.2,386.4,51.4,0,11.941666666666666,9,14.86
1710.0,74.6,332.4,30.8,0,21.575000000000003,16,11.87
1720.0,-13.000000000000025,344.0,32.2,0,0.0,6,13.23
1730.0,-28.0,362.0,42.2,0,25.5,14,13.92
1740.0,-23.599999999999973,376.4,51.4,0,0.0,7,15.06
1750.0,59.99999999999995,329.6,38.2,0,29.020833333333332,13,11.77
1760.0,-41.599999999999966,361.2,48.2,0,0.0,8,15.05
1770.0,36.80000000000001,330.4,42.2,0,20.505000000000003,15,12.24
1780.0,6.599999999999966,333.8,32.2,0,11.05,6,13.35
