step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,stop_time,ave_wait
10.0,350.40000000000003,8.2,2.6,0,0.0,1,0.75
20.0,-47.60000000000001,46.6,11.8,0,0.0,2,3.11
30.0,-70.0,106.6,21.8,0,4.925,8,5.33
40.0,3.9999999999999964,104.0,20.4,0,0.0,3,6.5
50.0,-108.6,202.6,30.4,0,11.716666666666667,8,8.44
60.0,-81.4,274.0,40.4,0,17.3,7,13.05
70.0,13.800000000000022,270.4,30.2,0,24.56666666666667,11,10.4
80.0,-43.400000000000034,303.8,40.2,0,0.0,10,13.21
90.0,-19.19999999999999,323.0,40.2,0,21.530833333333334,12,11.96
100.0,14.79999999999999,315.8,32.6,0,0.0,7,12.15
110.0,-49.39999999999996,355.4,42.4,0,30.265,15,12.69
120.0,-14.800000000000026,372.0,40.6,0,11.533333333333331,6,15.5
130.0,-32.39999999999998,394.4,50.6,0,20.533333333333335,12,14.61
140.0,60.99999999999998,344.0,40.0,0,0.0,10,13.76
150.0,30.20000000000001,312.2,41.6,0,19.006666666666668,12,12.01
160.0,11.999999999999979,309.8,32.0,0,0.0,7,12.39
170.0,-52.4,353.8,40.4,0,25.384999999999998,16,12.64
180.0,-30.19999999999999,374.0,50.4,0,0.0,8,14.96
190.0,-41.60000000000002,405.6,60.4,0,30.09166666666667,15,14.49
200.0,56.200000000000024,359.0,50.8,0,0.0,9,13.81
210.0,58.39999999999998,320.6,30.8,0,20.77,12,11.45
220.0,-13.599999999999998,332.6,32.4,0,0.0,7,12.79
230.0,-30.399999999999977,355.0,40.4,0,21.015,14,13.65
240.0,-62.0,407.0,50.4,0,10.783333333333333,6,16.28
250.0,76.6,339.0,41.8,0,31.2875,10,13.04
260.0,-26.399999999999977,355.4,51.8,0,0.0,10,14.22
270.0,32.59999999999997,332.0,42.6,0,14.990000000000002,13,12.3
280.0,6.600000000000023,335.4,32.6,0,10.2,7,12.9
290.0,-46.60000000000002,372.0,42.6,0,27.63,15,13.29
300.0,-22.4,397.0,40.0,0,0.0,8,14.7
310.0,15.800000000000011,379.2,42.0,0,33.849999999999994,14,13.08
320.0,-51.0,420.2,52.0,0,21.75,10,16.81
330.0,51.19999999999997,378.6,42.4,0,21.933333333333334,12,13.06
