step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,stop_time,ave_wait
10.0,356.8,6.2,2.0,0,0.0,0,0.56
20.0,-28.0,24.4,11.8,0,0.0,0,1.88
30.0,-72.0,97.4,10.8,0,9.425,9,4.43
40.0,-153.6,241.0,20.8,0,0.0,9,10.95
50.0,-69.0,300.0,30.8,0,12.525,12,11.54
60.0,-53.800000000000026,344.6,40.0,0,0.0,7,13.78
70.0,45.00000000000002,308.0,31.6,0,23.075000000000003,12,11.0
80.0,-35.39999999999998,333.4,41.6,0,0.0,8,13.89
90.0,15.8,328.4,30.8,0,15.304166666666667,9,12.16
100.0,-42.0,361.4,39.8,0,0.0,11,14.46
110.0,-1.4210854715202004e-14,359.2,42.0,0,29.395,12,13.82
120.0,-24.600000000000023,373.8,52.0,0,0.0,11,14.38
130.0,-4.9999999999999645,388.4,42.4,0,14.3125,10,12.95
140.0,16.599999999999987,382.2,32.0,0,20.275,12,14.7
150.0,-31.599999999999987,405.4,40.4,0,19.283333333333335,13,13.98
160.0,-65.20000000000005,460.6,50.4,0,13.333333333333332,11,18.42
170.0,-4.599999999999966,456.2,59.4,0,38.34583333333333,14,15.73
180.0,59.399999999999984,409.0,47.2,0,9.875,10,15.15
190.0,-101.0,500.0,57.2,0,8.258333333333333,18,16.67
200.0,-20.59999999999995,525.8,52.0,0,0.0,9,16.96
210.0,73.79999999999998,452.4,51.6,0,29.246666666666666,19,15.08
220.0,2.1999999999999815,461.0,40.8,0,24.34166666666667,7,17.07
230.0,61.60000000000002,390.4,49.8,0,29.0125,16,14.46
240.0,18.399999999999977,374.0,47.8,0,11.674999999999999,10,14.96
250.0,61.399999999999984,328.8,31.6,0,31.480000000000004,15,13.15
260.0,-11.999999999999986,340.0,32.4,0,7.55,7,13.08
270.0,-27.0,357.0,42.4,0,23.000833333333336,15,12.75
280.0,-43.600000000000016,391.8,51.2,0,21.28333333333333,7,15.07
290.0,97.6,314.6,30.8,0,25.625,12,12.1
300.0,-38.39999999999999,343.8,40.0,0,0.0,10,13.75
310.0,8.40000000000002,334.2,41.2,0,19.343333333333334,12,11.94
320.0,-1.6000000000000298,344.6,32.4,0,0.0,8,13.78
330.0,-42.599999999999966,377.2,42.4,0,15.796666666666669,15,13.47
340.0,-20.19999999999999,389.4,50.4,0,11.016666666666666,7,15.58
350.0,-35.200000000000045,414.6,60.4,0,33.475,14,15.36
360.0,50.40000000000004,374.4,50.2,0,0.0,8,15.6
370.0,80.19999999999996,312.8,31.6,0,13.386666666666667,12,11.59
380.0,-1.20000000000001,313.6,32.0,0,0.0,7,12.54
390.0,-40.999999999999964,346.2,40.4,0,16.450000000000003,15,12.82
400.0,-34.80000000000001,371.0,50.4,0,0.0,6,15.46
410.0,79.40000000000002,310.4,31.6,0,26.904166666666665,13,11.94
420.0,-51.20000000000001,353.2,40.0,0,11.100000000000001,10,13.58
430.0,13.599999999999987,340.0,39.6,0,16.845,13,12.14
440.0,9.199999999999989,337.8,32.6,0,0.0,7,13.51
450.0,-34.39999999999998,362.2,42.6,0,17.86,12,13.41
460.0,-34.8,389.2,50.4,0,19.53333333333333,7,15.57
470.0,61.59999999999997,336.8,41.2,0,21.383333333333333,12,12.47
480.0,-37.0,363.8,51.2,0,0.0,8,15.16
490.0,26.800000000000004,347.8,40.4,0,33.6925,12,12.88
500.0,18.00000000000002,338.2,32.0,0,0.0,8,13.53
510.0,-35.60000000000002,363.8,42.0,0,28.675,16,13.47
520.0,-41.000000000000014,395.6,51.2,0,11.141666666666667,7,16.48
530.0,73.20000000000002,333.0,40.6,0,26.212500000000006,11,12.33
540.0,-25.399999999999977,348.4,50.6,0,0.0,9,13.94
550.0,35.0,321.4,42.6,0,14.355,13,12.36
560.0,7.0,324.4,32.6,0,0.0,8,12.98
570.0,-40.80000000000001,355.2,42.6,0,25.365000000000002,15,12.69
580.0,-23.400000000000034,370.6,50.6,0,0.0,9,14.82
590.0,56.00000000000002,324.0,41.2,0,19.9375,13,11.57
600.0,-32.0,346.0,51.2,0,0.0,8,14.42
610.0,40.599999999999994,325.8,30.8,0,23.66916666666667,11,13.03
620.0,-7.999999999999989,332.0,32.6,0,9.5125,7,12.77
630.0,-44.0,366.0,42.6,0,21.259999999999998,15,13.07
640.0,-28.999999999999986,387.2,50.4,0,0.0,8,14.89
650.0,58.199999999999974,338.8,40.6,0,18.34166666666667,11,12.55
660.0,-31.599999999999966,360.4,50.6,0,10.033333333333331,11,13.86
670.0,28.200000000000003,340.4,42.4,0,16.155,12,12.16
680.0,14.799999999999976,336.0,32.0,0,0.0,7,14.0
690.0,-35.0,361.0,42.0,0,22.363333333333333,13,12.89
700.0,-15.000000000000014,377.8,40.2,0,0.0,9,14.53
710.0,31.000000000000025,356.2,30.8,0,15.854166666666668,14,12.28
720.0,-56.2,403.2,40.0,0,13.191666666666666,10,15.51
730.0,18.80000000000001,382.4,42.0,0,30.29,13,13.19
740.0,-7.200000000000024,390.0,41.6,0,22.425,7,15.0
750.0,37.40000000000001,352.2,42.0,0,18.439999999999998,14,12.58
760.0,-32.000000000000014,386.0,40.2,0,10.274999999999999,7,15.44
770.0,47.99999999999998,337.6,40.6,0,16.1125,12,12.5
780.0,-43.599999999999966,371.2,50.6,0,11.833333333333332,9,14.85
790.0,43.40000000000001,336.4,42.0,0,15.226666666666665,10,12.01
800.0,-2.6000000000000014,348.4,32.6,0,10.162500000000001,6,14.52
810.0,-32.0,370.4,42.6,0,19.0,13,13.72
820.0,-15.600000000000023,378.0,50.6,0,0.0,6,14.54
830.0,-41.19999999999999,409.2,60.6,0,16.795833333333334,15,15.16
840.0,33.59999999999999,385.0,51.2,0,12.725000000000001,9,14.81
850.0,72.6,324.0,39.6,0,14.721666666666668,12,11.57
860.0,-16.0,347.0,32.6,0,10.35,7,14.46
870.0,-11.399999999999977,348.4,42.6,0,25.5325,15,12.44
880.0,-33.40000000000001,373.2,51.2,0,0.0,7,14.35
890.0,67.19999999999996,325.6,31.6,0,25.65,12,11.63
900.0,-54.799999999999976,372.0,40.0,0,13.891666666666666,9,14.31
910.0,25.19999999999999,344.8,42.0,0,15.205,14,12.77
920.0,11.000000000000036,343.4,32.4,0,10.175,7,14.31
930.0,-27.600000000000023,361.0,42.4,0,22.988333333333333,15,12.89
940.0,-41.000000000000014,393.8,50.6,0,22.891666666666666,8,16.41
950.0,-12.0,395.8,60.6,0,12.733333333333333,13,14.66
960.0,47.20000000000001,358.0,51.2,0,0.0,9,14.32
970.0,59.79999999999998,318.6,30.8,0,22.421666666666667,12,12.25
980.0,1.4000000000000234,316.0,32.0,0,0.0,8,12.15
990.0,-35.8,342.0,41.8,0,16.805,15,12.21
1000.0,-52.79999999999999,386.2,50.4,0,0.0,7,16.09
1010.0,74.8,331.2,30.6,0,17.604166666666668,12,11.83
1020.0,-35.80000000000002,357.8,39.8,0,12.483333333333334,9,14.31
1030.0,18.4,336.8,42.4,0,19.296666666666667,12,12.47
1040.0,7.20000000000001,340.0,32.0,0,7.7375,7,13.6
1050.0,-31.4,362.0,41.4,0,19.060000000000002,13,12.93
1060.0,-27.200000000000024,382.6,48.0,0,10.666666666666668,7,15.3
1070.0,-32.0,404.6,58.0,0,19.924999999999997,17,14.99
1080.0,41.200000000000024,371.0,50.4,0,0.0,9,14.84
1090.0,64.99999999999997,325.6,30.8,0,23.289166666666667,11,11.63
1100.0,2.4868995751603507e-14,324.0,32.4,0,0.0,7,12.96
1110.0,-30.799999999999976,346.4,40.8,0,16.135,14,12.83
1120.0,-64.80000000000001,401.2,50.8,0,10.2625,7,15.43
1130.0,89.19999999999999,331.2,31.6,0,15.045833333333334,11,12.27
1140.0,-31.80000000000002,354.8,39.8,0,0.0,10,14.19
1150.0,10.999999999999986,342.6,41.0,0,33.248333333333335,14,12.24
1160.0,2.800000000000047,348.4,32.4,0,8.966666666666667,6,13.94
1170.0,-40.80000000000001,379.2,42.4,0,19.015,13,14.04
1180.0,-26.39999999999999,397.4,50.6,0,12.625,9,15.9
1190.0,-37.80000000000001,425.2,60.6,0,20.908333333333335,14,15.19
1200.0,45.59999999999998,389.8,50.4,0,0.0,10,15.59
1210.0,50.40000000000002,347.2,42.6,0,17.73166666666667,12,13.35
1220.0,9.799999999999969,347.6,32.4,0,0.0,7,13.9
1230.0,-21.799999999999976,360.0,41.8,0,28.585,16,13.33
1240.0,-54.000000000000014,404.8,51.0,0,23.683333333333337,8,16.87
1250.0,81.6,333.8,40.4,0,32.525,13,11.92
1260.0,-38.19999999999999,362.0,50.4,0,0.0,10,14.48
1270.0,37.20000000000001,333.2,42.0,0,34.208333333333336,13,11.9
1280.0,2.599999999999987,340.0,32.6,0,9.600000000000001,6,13.6
1290.0,-44.80000000000001,374.8,42.6,0,25.88,12,13.39
1300.0,-20.199999999999974,397.2,40.4,0,12.3125,8,15.28
1310.0,44.60000000000001,353.4,39.6,0,19.72083333333333,12,13.09
1320.0,-41.400000000000034,384.8,49.6,0,0.0,10,15.39
1330.0,22.600000000000037,369.4,42.4,0,37.69083333333333,13,13.19
1340.0,29.399999999999963,349.8,32.6,0,0.0,6,13.45
1350.0,-39.80000000000001,379.6,42.6,0,21.39,17,13.56
1360.0,-30.799999999999997,402.6,50.4,0,11.475000000000001,7,15.48
1370.0,85.20000000000005,327.4,40.4,0,15.166666666666668,12,12.13
1380.0,-42.400000000000034,359.8,50.4,0,0.0,8,13.84
1390.0,41.20000000000001,327.0,42.0,0,26.1,11,13.08
1400.0,22.799999999999997,314.0,32.2,0,0.0,7,12.56
1410.0,-55.199999999999974,359.4,42.0,0,23.434999999999995,17,12.84
1420.0,-25.000000000000036,385.8,40.6,0,12.891666666666667,8,14.84
1430.0,46.20000000000004,342.4,37.8,0,29.329166666666666,12,12.68
1440.0,-32.60000000000002,365.0,47.8,0,0.0,9,14.04
1450.0,18.199999999999974,352.6,42.0,0,32.26,13,13.06
1460.0,16.800000000000047,345.4,32.4,0,0.0,7,13.28
1470.0,-29.200000000000045,364.6,42.4,0,7.549999999999999,16,13.02
1480.0,-43.19999999999998,399.0,51.2,0,0.0,7,15.35
1490.0,55.79999999999998,363.6,30.8,0,27.06666666666667,12,12.54
1500.0,-32.99999999999996,387.4,40.0,0,0.0,11,14.35
1510.0,5.199999999999974,381.0,41.2,0,33.5875,14,13.14
1520.0,11.600000000000016,368.2,42.4,0,0.0,6,14.73
1530.0,31.80000000000001,336.4,42.4,0,16.090000000000003,12,12.46
1540.0,-35.0,373.4,40.4,0,11.466666666666665,7,14.94
1550.0,-41.200000000000045,404.6,50.4,0,30.200000000000003,15,14.99
1560.0,5.800000000000047,398.4,50.8,0,12.166666666666668,9,15.94
1570.0,59.59999999999995,347.6,42.0,0,24.895000000000003,12,13.37
1580.0,16.00000000000002,341.0,32.6,0,10.383333333333333,6,13.64
1590.0,-30.19999999999999,361.2,42.6,0,19.695,14,12.9
1600.0,-40.60000000000001,394.0,50.4,0,0.0,7,16.42
1610.0,67.0,337.0,40.4,0,27.5875,10,12.48
1620.0,-34.80000000000001,361.8,50.4,0,0.0,10,14.47
1630.0,33.80000000000003,336.4,42.0,0,19.843333333333334,12,12.94
1640.0,16.0,330.4,32.0,0,11.55,6,13.77
1650.0,-33.200000000000045,353.6,42.0,0,23.776666666666667,15,12.63
1660.0,-36.59999999999999,381.8,50.4,0,10.6375,8,15.27
1670.0,78.8,321.8,31.6,0,19.741666666666667,14,11.92
1680.0,-40.59999999999999,354.0,40.0,0,0.0,9,14.16
1690.0,25.200000000000024,326.4,42.4,0,23.644999999999996,11,12.09
1700.0,6.399999999999999,330.4,32.0,0,0.0,7,13.22
1710.0,-46.0,366.4,42.0,0,14.863333333333333,18,13.09
1720.0,-52.20000000000001,410.2,50.4,0,10.983333333333334,7,15.78
1730.0,-37.0,437.2,60.4,0,29.125,14,15.61
1740.0,40.80000000000001,406.4,50.4,0,0.0,9,16.26
1750.0,85.19999999999999,329.2,42.4,0,16.045,12,13.17
1760.0,22.80000000000001,316.4,32.4,0,0.0,8,12.66
1770.0,-32.2,340.4,40.6,0,26.5925,13,12.16
1780.0,-61.200000000000045,391.6,50.6,0,12.383333333333333,6,16.32
1790.0,70.60000000000004,332.2,39.4,0,26.741666666666667,12,11.86
1800.0,-28.19999999999999,350.4,49.4,0,0.0,8,14.02
1810.0,30.199999999999996,328.4,41.2,0,13.043333333333333,10,12.16
1820.0,0.79999999999999,336.2,32.6,0,11.075,7,13.45
1830.0,-22.19999999999999,348.4,42.6,0,24.924999999999997,18,12.44
1840.0,-21.800000000000033,372.8,40.0,0,0.0,6,14.91
1850.0,-44.80000000000001,407.6,50.0,0,19.516666666666666,13,14.56
1860.0,25.000000000000036,392.2,40.4,0,12.325,9,15.08
1870.0,37.8,352.2,42.6,0,13.983333333333333,13,14.09
1880.0,33.79999999999997,328.6,32.4,0,0.0,7,13.14
1890.0,-36.799999999999955,357.4,40.4,0,14.278333333333334,13,13.75
1900.0,-53.400000000000034,400.8,50.4,0,0.0,8,15.42
1910.0,58.400000000000006,362.0,30.8,0,18.625,13,12.48
1920.0,-21.60000000000002,373.6,40.8,0,0.0,9,14.37
1930.0,-9.599999999999966,373.2,50.8,0,31.6125,15,12.87
1940.0,20.0,363.2,40.8,0,11.794999999999998,6,13.45
1950.0,14.799999999999976,346.8,42.4,0,30.384999999999998,17,12.39
1960.0,-14.400000000000013,363.6,40.0,0,11.416666666666666,8,14.54
1970.0,-38.19999999999999,391.8,50.0,0,15.275,12,15.67
1980.0,40.20000000000003,361.4,40.2,0,0.0,9,13.9
1990.0,32.39999999999999,327.2,42.0,0,19.693333333333335,13,12.12
2000.0,8.600000000000001,328.2,32.4,0,0.0,7,13.13
2010.0,-52.60000000000002,370.8,42.4,0,25.405833333333334,13,13.73
